wave,supergroup,trend,label,mortRate,logmortRate,smokeRate,logSmokeRate,wealth,logwealth,count,logcount,ageAve,logageAve
2,0,1,agecat1;3.0,0.014285714,-4.248495242,0.304761905,-1.188224447,74319.97374,11.21613502,208,5.347107531,57.4784689,4.051410424
2,1,1,agecat1;3.0,0.02173913,-3.828641396,0.136363636,-1.992430165,105906.9487,11.57031615,46,3.828641396,72.37777778,4.281899316
2,2,1,agecat1;3.0,0.002604167,-5.950642553,0.392473118,-0.935287233,82397.49949,11.31931037,384,5.950642553,54.53263708,3.998799368
2,3,1,agecat1;3.0,0.011363636,-4.477336814,0.125,-2.079441542,87386.462,11.37809565,349,5.863631176,68.4985755,4.226812949
2,4,1,agecat1;3.0,0.003921569,-5.541263545,0.20979021,-1.561647249,23946.53939,10.0835791,255,5.541263545,72.48818898,4.283423638
2,5,1,agecat1;3.0,0.02173913,-3.828641396,0.230769231,-1.466337069,31524.21053,10.35851112,316,5.774551546,77.23676012,4.346875511
2,6,1,agecat1;3.0,0.053921569,-2.920224721,0.131578947,-2.028148247,13841.56897,9.535431587,194,5.318119994,83.82758621,4.428762144
2,7,1,agecat1;3.0,0.003236246,-5.733341277,0.464052288,-0.767758044,30928.45652,10.33943196,309,5.733341277,54.57467532,3.999569953
2,8,1,agecat1;3.0,0.031914894,-3.444682494,0.277777778,-1.280933845,28358.83193,10.25269379,183,5.236441963,72.47593583,4.283254587
2,9,1,agecat1;3.0,0.026315789,-3.63758616,0.136363636,-1.992430165,87474.13793,11.37909846,38,3.63758616,83.75675676,4.427916845
2,10,1,agecat1;3.0,0.020408163,-3.891820298,0.182389937,-1.701608372,68282.30977,11.131406,289,5.683579767,72.46757679,4.283139245
2,11,1,agecat1;3.0,0.003144654,-5.762051383,0.204545455,-1.586965057,51730.53924,10.85380359,318,5.762051383,68.52681388,4.227225112
2,12,1,agecat1;3.0,0.003636364,-5.616771098,0.254681648,-1.367740953,104392.2302,11.55591053,549,6.309918278,54.51001821,3.998384505
2,13,1,agecat1;3.0,0.034615385,-3.363457054,0.085271318,-2.461917132,63638.89326,11.06098009,252,5.560681631,83.89189189,4.429528969
2,14,1,agecat1;3.0,0.003215434,-5.739792912,0.229299363,-1.472726867,139766.3304,11.84772724,311,5.739792912,57.52258065,4.052177578
2,15,1,agecat1;3.0,0.016666667,-4.094344562,0.359649123,-1.022626382,41477.83553,10.63291448,237,5.480638923,64.37238494,4.164684736
2,16,1,agecat1;3.0,0.004149378,-5.484796933,0.354330709,-1.037524597,31545.47405,10.3591854,241,5.484796933,60.375,4.100575112
2,17,1,agecat1;3.0,0.046296296,-3.072693315,0.392156863,-0.936093359,30480.57407,10.32484484,104,4.682131227,68.43925234,4.225946525
2,18,1,agecat1;3.0,0.005128205,-5.272999559,0.341666667,-1.073919676,56673.30893,10.94505864,195,5.272999559,57.44845361,4.050888087
2,19,1,agecat1;3.0,0.008547009,-4.762173935,0.296610169,-1.215336563,29381.01204,10.2881039,233,5.455321115,68.53218884,4.227303545
2,20,1,agecat1;3.0,0.025,-3.688879454,0.108695652,-2.219203484,107940.9643,11.58933973,79,4.382026635,77.25316456,4.34708788
2,21,1,agecat1;3.0,0.006024096,-5.111987788,0.247252747,-1.397344197,104185.5266,11.5539285,331,5.805134969,64.58006042,4.167905701
2,22,1,agecat1;3.0,0.020134228,-3.905334017,0.248484848,-1.392373407,40332.71429,10.60491819,293,5.697093487,68.47474747,4.226465027
2,23,1,agecat1;3.0,0.076595745,-2.569213756,0.225490196,-1.489478597,16998.13077,9.740858662,218,5.459585514,77.18376068,4.346189081
2,24,1,agecat1;3.0,0.009259259,-4.682131227,0.451612903,-0.794929875,24392.77083,10.10204209,108,4.682131227,54.43925234,3.997085444
2,25,1,agecat1;3.0,0.028328612,-3.563882964,0.177514793,-1.728701333,44820.28625,10.71041613,344,5.866468057,77.24431818,4.346973362
2,26,1,agecat1;3.0,0.022792023,-3.781344682,0.105,-2.253794929,73540.42222,11.2055905,344,5.860786223,77.38571429,4.348802194
2,27,1,agecat1;3.0,0.016339869,-4.11414719,0.220689655,-1.51099784,60223.61609,11.00581985,302,5.723585102,64.54754098,4.167402022
2,28,1,agecat1;3.0,0.012195122,-4.406719247,0.333333333,-1.098612289,41533.5817,10.63425758,244,5.505331536,64.36326531,4.164543056
2,29,1,agecat1;3.0,0.009836066,-4.621699488,0.299363057,-1.206098204,42766.11729,10.66350142,303,5.720311777,60.34868421,4.100139145
2,30,1,agecat1;3.0,0.007194245,-4.934473933,0.166666667,-1.791759469,55648.94089,10.92681832,277,5.627621114,72.46931408,4.283163218
2,31,1,agecat1;3.0,0.03,-3.506557897,0.34,-1.078809661,31512.5614,10.35814152,462,4.605170186,60.31313131,4.099549846
2,32,1,agecat1;3.0,0.006465517,-5.041272264,0.1875,-1.673976434,122422.201,11.71523101,98,6.139884552,60.50539957,4.10273261
2,33,1,agecat1;3.0,0.00877193,-4.736198448,0.208791209,-1.566420527,76311.56288,11.24257975,340,5.834810737,60.35483871,4.100241122
2,34,1,agecat1;3.0,0.038235294,-3.26399626,0.077464789,-2.557931785,34568.42609,10.450696,328,5.828945618,83.80235988,4.428461168
2,35,1,agecat1;3.0,0.056818182,-2.867898902,0.142857143,-1.945910149,11884.57143,9.382996319,84,4.477336814,84.12643678,4.432320867
2,36,1,agecat1;3.0,0.036363636,-3.314186005,0.403508772,-0.907557052,15938.01613,9.676462486,107,4.700480366,72.43119266,4.282637044
2,37,1,agecat1;3.0,0.007575758,-4.882801923,0.389830508,-0.942043228,39513.35,10.58439387,132,4.882801923,57.54198473,4.052514851
2,38,1,agecat1;3.0,0.019230769,-3.951243719,0.08,-2.525728644,184552.591,12.12568975,52,3.951243719,68.11764706,4.221236314
2,39,1,agecat1;3.0,0.0125,-4.382026635,0.311111111,-1.16760516,114241.1245,11.64606662,80,4.382026635,54.74683544,4.002719567
2,40,1,agecat1;3.0,0.018181818,-4.007333185,0.24137931,-1.421385681,142967.5492,11.87037295,55,4.007333185,57.42592593,4.050495873
2,41,1,agecat1;3.0,0.028985507,-3.540959324,0.095744681,-2.346070205,17213.29167,9.753437136,202,5.332718793,83.55825243,4.425544022
2,42,1,agecat1;3.0,0.018181818,-4.007333185,0.44,-0.820980552,29372.40741,10.28781099,55,4.007333185,57.44444444,4.050818297
2,43,1,agecat1;3.0,0.030927835,-3.47609869,0.24,-1.427116356,15473.92188,9.646911426,95,4.574710979,77.13541667,4.345562535
2,44,1,agecat1;3.0,0.007722008,-4.863680881,0.437956204,-0.825636364,31464.29969,10.35660884,258,5.556828062,54.68604651,4.001608586
2,45,1,agecat1;3.0,0.013157895,-4.33073334,0.186046512,-1.681758574,128851.7077,11.76641747,76,4.33073334,60.73333333,4.106492696
2,46,1,agecat1;3.0,0.01,-4.605170186,0.326923077,-1.118030375,35954.34615,10.49000525,100,4.605170186,64.65656566,4.169089657
2,47,1,agecat1;3.0,0.015151515,-4.189654742,0.210526316,-1.558144618,176813.8077,12.08285252,66,4.189654742,64.4,4.165113633
3,0,2,agecat5;2.0,0.004761905,-5.347107531,0.234693878,-1.449473263,75023.27817,11.22555372,208,5.347107531,59.4784689,4.08561438
3,1,2,agecat5;2.0,0.02173913,-3.828641396,0.05,-2.995732274,124145.5556,11.72920999,46,3.828641396,74.37777778,4.309157211
3,2,2,agecat5;2.0,0.0078125,-4.852030264,0.36416185,-1.010156868,73728.22929,11.20814103,382,5.950642553,56.53263708,4.034818119
3,3,2,agecat5;2.0,0.014204545,-4.254193263,0.14,-1.966112856,83948.30938,11.33795652,345,5.863631176,70.4985755,4.255592504
3,4,2,agecat5;2.0,0.066666667,-2.708050201,0.163793103,-1.809151212,33118.53125,10.40784826,239,5.541263545,74.48818898,4.310640576
3,5,2,agecat5;2.0,0.062111801,-2.778819272,0.210526316,-1.558144618,25295.57738,10.13838485,297,5.774551546,79.23676012,4.372440334
3,6,2,agecat5;2.0,0.073529412,-2.610069793,0.142857143,-1.945910149,17444.2063,9.766762855,180,5.318119994,85.82758621,4.452340472
3,7,2,agecat5;2.0,0.009708738,-4.634728988,0.415384615,-0.878550404,36242.31917,10.49798275,307,5.733341277,56.57467532,4.035561453
3,8,2,agecat5;2.0,0.031914894,-3.444682494,0.246153846,-1.401798548,35746.70972,10.48421351,178,5.236441963,74.47593583,4.310476064
3,9,2,agecat5;2.0,0.131578947,-2.028148247,0.157894737,-1.84582669,161593.848,11.99284136,34,3.63758616,85.75675676,4.451514879
3,10,2,agecat5;2.0,0.037414966,-3.285684495,0.121212121,-2.1102132,77171.28141,11.25378266,279,5.683579767,74.46757679,4.31036382
3,11,2,agecat5;2.0,0.022012579,-3.816141234,0.214285714,-1.540445041,61200.20476,11.02190581,312,5.762051383,70.52681388,4.255992976
3,12,2,agecat5;2.0,0.009090909,-4.700480366,0.206477733,-1.577562704,104528.6497,11.55721647,545,6.309918278,56.51001821,4.034417936
3,13,2,agecat5;2.0,0.073076923,-2.616242652,0.063636364,-2.754570217,87453.44371,11.37886186,234,5.560681631,85.89189189,4.453089434
3,14,2,agecat5;2.0,0.01607717,-4.130355,0.198630137,-1.616310792,125535.9656,11.74034758,307,5.739792912,59.52258065,4.086355747
3,15,2,agecat5;2.0,0.016666667,-4.094344562,0.294736842,-1.221672381,42093.55505,10.64764992,234,5.480638923,66.37238494,4.19528108
3,16,2,agecat5;2.0,0.024896266,-3.693037464,0.313043478,-1.16141319,45441.40157,10.7241789,236,5.484796933,62.375,4.133164554
3,17,2,agecat5;2.0,0.055555556,-2.890371758,0.340909091,-1.076139433,22758.33962,10.03268693,99,4.682131227,70.43925234,4.254750669
3,18,2,agecat5;2.0,0.015384615,-4.17438727,0.345794393,-1.061910922,48447.18715,10.78822956,193,5.272999559,59.44845361,4.085109611
3,19,2,agecat5;2.0,0.025641026,-3.663561646,0.323809524,-1.127599826,39828.96841,10.59234978,228,5.455321115,70.53218884,4.256069185
3,20,2,agecat5;2.0,0.075,-2.590267165,0.083333333,-2.48490665,124585.3753,11.7327465,74,4.382026635,79.25316456,4.372647343
3,21,2,agecat5;2.0,0.021084337,-3.85922482,0.223684211,-1.497519996,130258.7449,11.7772781,325,5.805134969,66.58006042,4.19840514
3,22,2,agecat5;2.0,0.030201342,-3.499868909,0.193103448,-1.644529232,49837.91716,10.81653136,285,5.697093487,70.47474747,4.255254454
3,23,2,agecat5;2.0,0.05106383,-2.974678864,0.183908046,-1.693319396,19079.71337,9.856380922,207,5.459585514,79.18376068,4.371771236
3,24,2,agecat5;2.0,0.009259259,-4.682131227,0.48,-0.733969175,62089.48649,11.03633195,108,4.682131227,56.43925234,4.03316488
3,25,2,agecat5;2.0,0.053824363,-2.922029078,0.143884892,-1.93874166,43037.28903,10.66982221,326,5.866468057,79.24431818,4.372535715
3,26,2,agecat5;2.0,0.054131054,-2.916347244,0.116959064,-2.145931283,87759.452,11.38235485,326,5.860786223,79.38571429,4.374318431
3,27,2,agecat5;2.0,0.013071895,-4.337290741,0.154471545,-1.867745376,74623.86473,11.22021564,299,5.723585102,66.54754098,4.197916594
3,28,2,agecat5;2.0,0.020325203,-3.895893623,0.288,-1.244794799,45158.06429,10.71792415,240,5.505331536,66.36326531,4.19514367
3,29,2,agecat5;2.0,0.036065574,-3.322416504,0.308270677,-1.176777062,49800.98044,10.81578995,293,5.720311777,62.34868421,4.132742569
3,30,2,agecat5;2.0,0.032374101,-3.430396536,0.156521739,-1.85456037,60238.97711,11.00607488,269,5.627621114,74.46931408,4.310387149
3,31,2,agecat5;2.0,0.02,-3.912023005,0.325581395,-1.122142786,30425.06522,10.32302206,461,4.605170186,62.31313131,4.132172179
3,32,2,agecat5;2.0,0.004310345,-5.446737372,0.152073733,-1.883389792,124755.4064,11.73411035,97,6.139884552,62.50539957,4.135252946
3,33,2,agecat5;2.0,0.014619883,-4.225372825,0.214285714,-1.540445041,85378.492,11.3548495,336,5.834810737,62.35483871,4.132841275
3,34,2,agecat5;2.0,0.082352941,-2.496741107,0.073394495,-2.611906341,34190.1018,10.43969146,301,5.828945618,85.80235988,4.452046511
3,35,2,agecat5;2.0,0.102272727,-2.280112237,0.121212121,-2.1102132,13344.95725,9.498893859,76,4.477336814,86.12643678,4.455816412
3,36,2,agecat5;2.0,0.045454545,-3.091042453,0.409090909,-0.893817876,24868.36538,10.12135181,103,4.700480366,74.43119266,4.30987511
3,37,2,agecat5;2.0,0.007575758,-4.882801923,0.395833333,-0.926762032,48549.65385,10.79034234,132,4.882801923,59.54198473,4.086681689
3,38,2,agecat5;2.0,0.019230769,-3.951243719,0.095238095,-2.351375257,209804.3659,12.25393078,52,3.951243719,70.11764706,4.250174504
3,39,2,agecat5;2.0,0.0125,-4.382026635,0.243902439,-1.410986974,117515.8991,11.67432891,80,4.382026635,56.74683544,4.038599892
3,40,2,agecat5;2.0,0.054545455,-2.908720897,0.285714286,-1.252762968,171917.5347,12.05477019,53,4.007333185,59.42592593,4.084730595
3,41,2,agecat5;2.0,0.111111111,-2.197224577,0.058823529,-2.833213344,24021.49367,10.08670428,180,5.332718793,85.55825243,4.449197459
3,42,2,agecat5;2.0,0.018181818,-4.007333185,0.454545455,-0.78845736,15743.11502,9.664158407,55,4.007333185,59.44444444,4.08504217
3,43,2,agecat5;2.0,0.072164948,-2.628800829,0.264705882,-1.329135947,14457.53488,9.578971003,89,4.574710979,79.13541667,4.37116052
3,44,2,agecat5;2.0,0.007722008,-4.863680881,0.37704918,-0.975379648,52113.68293,10.86118282,257,5.556828062,56.68604651,4.037528087
3,45,2,agecat5;2.0,0.026315789,-3.63758616,0.162162162,-1.819158443,193933.5929,12.17527107,75,4.33073334,62.73333333,4.138892938
3,46,2,agecat5;2.0,0.03,-3.506557897,0.217391304,-1.526056303,23989.19565,10.08535883,98,4.605170186,66.65656566,4.199553551
3,47,2,agecat5;2.0,0.015151515,-4.189654742,0.142857143,-1.945910149,182922.0639,12.11681546,66,4.189654742,66.4,4.195697056
4,0,3,agecat6;4.0,0.004761905,-5.347107531,0.192771084,-1.646251886,80392.49715,11.29467613,208,5.347107531,61.4784689,4.118687014
