id,wavenum,fdvsavings_bu_s,ifssmokerstat,fdvgrossfw_bu_s
100001,2003,nan,nan,nan
100001,2005,1100,3.0,1678
100001,2007,264,3.0,264
100001,2009,15,3.0,15
100001,2011,350,3.0,350
100006,2003,nan,nan,nan
100006,2005,nan,nan,nan
100006,2007,nan,nan,nan
100006,2009,6400,0.0,6400
100006,2011,82000,0.0,82000
100007,2003,nan,nan,nan
100007,2005,18500,0.0,33500
100007,2007,31000,0.0,76000
100007,2009,28500,0.0,33000
100007,2011,20000,0.0,26000
100009,2003,nan,nan,nan
100009,2005,nan,nan,nan
100009,2007,2100,4.0,2100
100009,2009,6500,2.0,6500
100009,2011,6000,2.0,6000
100011,2003,nan,nan,nan
100011,2005,nan,nan,nan
100011,2007,nan,nan,nan
100011,2009,nan,nan,nan
100011,2011,nan,nan,nan
100012,2003,nan,nan,nan
100012,2005,nan,nan,nan
100012,2007,116000,-2.0,295500
100012,2009,182867.25,-2.0,579500
100012,2011,225425.625,3.0,722000
100016,2003,nan,nan,nan
100016,2005,nan,nan,nan
100016,2007,700,-8.0,5700
100016,2009,75000,-2.0,83281
100016,2011,nan,nan,nan
100020,2003,nan,nan,nan
100020,2005,nan,nan,nan
100020,2007,nan,nan,nan
100020,2009,nan,nan,nan
100020,2011,nan,nan,nan
100021,2003,nan,nan,nan
100021,2005,31000,3.0,64000
100021,2007,103000,3.0,136000
100021,2009,nan,nan,nan
100021,2011,103000,3.0,125000
100023,2003,nan,nan,nan
100023,2005,nan,nan,nan
100023,2007,nan,nan,nan
100023,2009,nan,nan,nan
100023,2011,11500,3.0,11500
100025,2003,nan,nan,nan
100025,2005,nan,nan,nan
100025,2007,19100,3.0,44100
100025,2009, ,3.0, 
100025,2011,117241.375,3.0,131896.546875
100026,2003,nan,nan,nan
100026,2005,nan,nan,nan
100026,2007,nan,nan,nan
100026,2009,55000,0.0,77511
100026,2011,27976.19140625,3.0,62500
100029,2003,nan,nan,nan
100029,2005,30000,0.0,30015
100029,2007,14000,0.0,16005
100029,2009,25999.091796875,0.0,26005
100029,2011,44000,0.0,53505
100032,2003,nan,nan,nan
100032,2005,nan,nan,nan
100032,2007,nan,nan,nan
100032,2009,100000,-2.0,672000
100032,2011,54000,-2.0,457200
100038,2003,6000,4.0,7000
100038,2005,2000,4.0,2000
100038,2007,nan,nan,nan
100038,2009,nan,nan,nan
100038,2011,nan,nan,nan
100039,2003,32000,4.0,33005
100039,2005,8200,4.0,16200
100039,2007,20000,2.0,23700
100039,2009,7300,2.0,52400
100039,2011,12000,2.0,24100
100044,2003,3000,0.0,3090
100044,2005,6200,0.0,6200
100044,2007,1800,0.0,1800
100044,2009,2808,0.0,2808
100044,2011,nan,nan,nan
100046,2003,219000,0.0,219000
100046,2005,20000,0.0,20000
100046,2007,37000,0.0,37000
100046,2009,2169.64282226563,0.0,4223.5712890625
100046,2011,20000,0.0,22000
100047,2003,0,-2.0,2500
100047,2005,700,3.0,700
100047,2007,0,3.0,700
100047,2009,2000,3.0,3000
100047,2011,1000,3.0,1000
100048,2003,50,-2.0,50
100048,2005,200,3.0,200
100048,2007,0,3.0,0
100048,2009,900,3.0,900
100048,2011,600,3.0,600
100050,2003,15000,3.0,45103
100050,2005,10500,3.0,68708
100050,2007,2000,3.0,20500
100050,2009,903,3.0,31013
100050,2011,0,3.0,1200
100052,2003,3000,0.0,11000
100052,2005,18284.71484375,0.0,21650
100052,2007,3000,0.0,19000
100052,2009,10000,0.0,72000
100052,2011,3504.76196289063,3.0,73600
100054,2003,2550,3.0,7160
100054,2005,3550,3.0,9920
100054,2007,12040,3.0,13946
100054,2009,0,3.0,0
100054,2011,20000,3.0,20104
100055,2003,11,4.0,11
100055,2005,600,4.0,600
100055,2007,2000,4.0,2000
100055,2009,18060,4.0,25800
100055,2011,80230,4.0,80230
100057,2003,7900,0.0,9405
100057,2005,3387,0.0,3990
100057,2007,625,0.0,3135
100057,2009,10100,0.0,10100
100057,2011,1200,0.0,8220
100058,2003,17052.630859375,3.0,27000
100058,2005,59000,3.0,65000
100058,2007,4000,3.0,4000
100058,2009,nan,nan,nan
100058,2011,5000,3.0,5000
100059,2003,31000,3.0,38002
100059,2005,17271.900390625,3.0,38012
100059,2007,19400,3.0,26400
100059,2009,3500,3.0,48500
100059,2011,5018,3.0,28018
100066,2003,37000,4.0,117000
100066,2005,nan,nan,nan
100066,2007,nan,nan,nan
100066,2009,nan,nan,nan
100066,2011,187000,4.0,437000
100071,2003,35000,3.0,41150
100071,2005,35000,3.0,35000
100071,2007,7000,3.0,147100
100071,2009,25000,3.0,75150
100071,2011,1200,3.0,69710
100073,2003,7500,0.0,13250
100073,2005,13050,0.0,24050
100073,2007,11000,0.0,29200
100073,2009,4200,0.0,5200
100073,2011,2400,0.0,14200
100074,2003,95,0.0,3095
100074,2005,800,0.0,800
100074,2007,1500,0.0,1500
100074,2009,1550,0.0,1550
100074,2011,nan,nan,nan
100077,2003,109000,3.0,123200
100077,2005,28380,3.0,65580
100077,2007,20000,3.0,65500
100077,2009,15200,3.0,228200
100077,2011,16000,3.0,70000
100081,2003,800,4.0,800
100081,2005,13630,4.0,13630
100081,2007,2800,4.0,2950
100081,2009,375,4.0,375
100081,2011,510,4.0,510
100082,2003,3400,3.0,28400
100082,2005,6000,3.0,6000
100082,2007,159000,3.0,159000
100082,2009,24000,3.0,74000
100082,2011,51000,3.0,81000
100089,2003,5000,0.0,11500
100089,2005,nan,nan,nan
100089,2007,nan,nan,nan
100089,2009,nan,nan,nan
100089,2011,82000,-2.0,102000
100091,2003,40,4.0,40
100091,2005,800,4.0,800
100091,2007,700,4.0,700
100091,2009,866,4.0,866
100091,2011,2000,4.0,2000
100093,2003,18500,4.0,248500
100093,2005,30000,4.0,124400
100093,2007,4566.50244140625,4.0,154500
100093,2009,3000,2.0,80000
100093,2011,30000,2.0,35000
100095,2003,1300,3.0,1300
100095,2005,1000,3.0,1000
100095,2007,2000,3.0,2000
100095,2009,0,3.0,0
100095,2011,100,3.0,100
100096,2003,1000,0.0,1510
100096,2005,0,0.0,0
100096,2007,4500,0.0,4502
100096,2009,1400,0.0,3401
100096,2011,20000,0.0,26100
100098,2003,5500,3.0,11160
100098,2005,2438,3.0,7837
100098,2007,21000,3.0,25700
100098,2009,10000,3.0,14200
100098,2011,19000,3.0,23000
100099,2003,15500,4.0,21200
100099,2005,9500,4.0,17500
100099,2007,2500,4.0,2500
100099,2009,0,4.0,0
100099,2011,1000,4.0,1000
100101,2003,134,4.0,134
100101,2005,19,4.0,19
100101,2007,250,4.0,250
100101,2009,0,4.0,0
100101,2011,1000,2.0,1000
100102,2003,58871.80859375,3.0,174600
100102,2005,172000,3.0,288000
100102,2007,30460,3.0,125460
100102,2009,38000,4.0,130400
100102,2011,75000,2.0,166000
100104,2003,4700,3.0,6000
100104,2005,420,3.0,600
100104,2007,nan,nan,nan
100104,2009,11000,3.0,13100
100104,2011,nan,nan,nan
100105,2003,88000,3.0,121380
100105,2005,26000,3.0,35430
100105,2007,42000,3.0,164000
100105,2009,34000,3.0,64000
100105,2011,16000,3.0,66000
100106,2003,1500,0.0,16500
100106,2005,3200,0.0,11200
100106,2007,12000,0.0,21500
100106,2009,12000,0.0,51000
100106,2011,16000,0.0,16500
101109,2003,nan,nan,nan
101109,2005,nan,nan,nan
101109,2007,192000,0.0,272000
101109,2009,84000,0.0,138000
101109,2011,57954.72265625,3.0,148044.140625
101133,2003,nan,nan,nan
101133,2005,nan,nan,nan
101133,2007,nan,nan,nan
101133,2009,nan,nan,nan
101133,2011,nan,nan,nan
101161,2003,nan,nan,nan
101161,2005,nan,nan,nan
101161,2007,6000,4.0,6000
101161,2009,17136.740234375,2.0,17188.150390625
101161,2011,26000,2.0,26000
101163,2003,nan,nan,nan
101163,2005,nan,nan,nan
101163,2007,23000,2.0,37000
101163,2009,30000,2.0,30000
101163,2011,300,2.0,300
101275,2003,nan,nan,nan
101275,2005,nan,nan,nan
101275,2007,nan,nan,nan
101275,2009,nan,nan,nan
101275,2011,nan,nan,nan
101304,2003,nan,nan,nan
101304,2005,nan,nan,nan
101304,2007,nan,nan,nan
101304,2009,nan,nan,nan
101304,2011,30000,-2.0,75506
101339,2003,nan,nan,nan
101339,2005,nan,nan,nan
101339,2007,nan,nan,nan
101339,2009,260000,-2.0,260000
101339,2011,28929.82421875,-2.0,97000
101374,2003,nan,nan,nan
101374,2005,nan,nan,nan
101374,2007,nan,nan,nan
101374,2009,8186,-2.0,14186
101374,2011,21000,3.0,47000
101418,2003,nan,nan,nan
101418,2005,nan,nan,nan
101418,2007,nan,nan,nan
101418,2009,nan,nan,nan
101418,2011,nan,nan,nan
101544,2003,nan,nan,nan
101544,2005,nan,nan,nan
101544,2007,nan,nan,nan
101544,2009,20000,2.0,21000
101544,2011,69475,2.0,70475
101546,2003,nan,nan,nan
101546,2005,26500,3.0,60520
101546,2007,25322,3.0,38372
101546,2009,33700,3.0,146710
101546,2011,20600,3.0,31900
101551,2003,nan,nan,nan
101551,2005,nan,nan,nan
101551,2007,30500,0.0,30500
101551,2009,nan,nan,nan
101551,2011,90,-2.0,90
101562,2003,nan,nan,nan
101562,2005,nan,nan,nan
101562,2007,nan,nan,nan
101562,2009,nan,nan,nan
101562,2011,0,-2.0,1000
101572,2003,nan,nan,nan
101572,2005,nan,nan,nan
101572,2007,nan,nan,nan
101572,2009,nan,nan,nan
101572,2011,12000,-2.0,12000
101579,2003,nan,nan,nan
101579,2005,nan,nan,nan
101579,2007,57000,1.0,80300
101579,2009,47000,1.0,112000
101579,2011,426,1.0,33726
101583,2003,nan,nan,nan
101583,2005,nan,nan,nan
101583,2007,nan,nan,nan
101583,2009,nan,nan,nan
101583,2011,33230.76953125,-2.0,64000
101588,2003,nan,nan,nan
101588,2005,nan,nan,nan
101588,2007,nan,nan,nan
101588,2009,nan,nan,nan
101588,2011,27000,-2.0,57300
101636,2003,nan,nan,nan
101636,2005,318000,1.0,424000
101636,2007,nan,nan,nan
101636,2009,85000,1.0,221000
101636,2011,12000,1.0,256398
101704,2003,nan,nan,nan
101704,2005,nan,nan,nan
101704,2007,nan,nan,nan
101704,2009,nan,nan,nan
