wave, agecat, mortRate, smokeRate, savAve,incomeAve,count
2,agecat5,0.0015982951518380393,0.052095130237825596,26754.619497929118,65310.89306019774,1877,
2,agecat4,0.004,0.06180193596425912,34459.01256609943,79482.01129892412,2750,
2,agecat1,0.03927729772191673,0.06618313689936536,21516.12971608808,42783.84961928934,2546,
2,agecat3,0.007397133610725843,0.05714285714285714,31921.781288146973,67051.59546083861,2163,
2,agecat2,0.01638065522620905,0.05117790414297319,24821.065150193102,46611.86996820479,2564,
3,agecat5,0.005860415556739478,0.05303030303030303,32710.374839610224,70982.0535277284,1877,
3,agecat4,0.011636363636363636,0.06621961441743504,41495.50906974415,88042.51399226503,2750,
3,agecat1,0.08248232521602514,0.07523148148148148,25138.0453477535,48822.753765999005,2546,
3,agecat3,0.012944983818770227,0.05758582502768549,35905.908637926965,74691.68350503664,2163,
3,agecat2,0.03471138845553822,0.05293551491819057,27444.119611462032,55069.57217044891,2564,
4,agecat5,0.0031965903036760787,0.0524822695035461,47157.909710525375,79125.21269318761,1877,
4,agecat4,0.008363636363636363,0.06422018348623854,51598.110232299725,94461.59039500584,2750,
4,agecat1,0.0589159465828751,0.07861635220125786,28476.947402667472,50796.79448952024,2546,
4,agecat3,0.012482662968099861,0.06030150753768844,38610.64002978516,85412.03497953869,2163,
4,agecat2,0.02535101404056162,0.05116796440489433,33838.93320648497,65126.09579482913,2564,
5,agecat5,0.006393180607352157,0.06377204884667571,41570.706718105896,82455.04611942309,1877,
5,agecat4,0.005818181818181818,0.07506702412868632,51444.524193670375,97219.00792100694,2750,
5,agecat1,0.054595443833464256,0.08604206500956023,30126.511473231996,52411.92837078652,2546,
5,agecat3,0.009246417013407305,0.08567931456548347,39436.463676714004,80021.37974059465,2163,
5,agecat2,0.028861154446177848,0.05807200929152149,31448.039110040183,55604.19819197285,2564,
