wave, agecat,trend, mortRate, logmortRate, smokeRate,logSmokeRate, wealth, logwealth, count, logcount
2,5,1,0.001601708,-6.436684414,0.05209513,-2.954683804,74548.25287,11.21920188,1873,7.535296702
2,4,1,0.003787879,-5.575949103,0.05974026,-2.817749118,90406.39056,11.41207024,2376,7.77317368
2,3,1,0.007109005,-4.946393025,0.059773829,-2.81718736,72166.90777,11.18673688,2532,7.836764783
2,2,1,0.014873141,-4.20819832,0.049180328,-3.012261576,47966.81782,10.77826476,2286,7.734558844
2,1,1,0.033781034,-3.387855765,0.065789474,-2.721295428,44242.0526,10.69743103,2457,7.806696373
3,5,2,0.005872931,-5.13740143,0.053030303,-2.936891774,79581.7761,11.2845404,1873,7.535296702
3,4,2,0.010942761,-4.515077142,0.065175097,-2.730677827,94012.66737,11.45118481,2376,7.77317368
3,3,2,0.01342812,-4.310404259,0.059925094,-2.814659936,81564.36845,11.30914778,2532,7.836764783
3,2,2,0.033245844,-3.403825504,0.052575107,-2.945512517,56574.13409,10.94330716,2286,7.734558844
3,1,2,0.07041107,-2.653404778,0.073414905,-2.611628292,52017.96704,10.85934446,2457,7.806696373
4,5,3,0.003203417,-5.743537233,0.05248227,-2.94727989,87963.62485,11.38467865,1873,7.535296702
4,4,3,0.008417508,-4.777441407,0.06517094,-2.730741612,99004.9595,11.50292522,2376,7.77317368
4,3,3,0.011848341,-4.435567402,0.06,-2.813410717,90473.85428,11.41281618,2532,7.836764783
4,2,3,0.026246719,-3.640214282,0.050931677,-2.977270211,68369.04002,11.13267537,2286,7.734558844
4,1,3,0.052910053,-2.939161922,0.074927954,-2.591228242,52459.66523,10.86779987,2457,7.806696373
5,5,4,0.006406834,-5.050390053,0.063772049,-2.75244029,90510.1304,11.41321706,1873,7.535296702
5,4,4,0.00547138,-5.208224323,0.07780083,-2.553603181,101892.0799,11.53166949,2376,7.77317368
5,3,4,0.009083728,-4.701270567,0.08127572,-2.509907952,86904.96858,11.37257049,2532,7.836764783
5,2,4,0.028871391,-3.544904102,0.059431525,-2.822930477,57335.29668,10.95667171,2286,7.734558844
5,1,4,0.053317053,-2.931499049,0.079526227,-2.531668416,53779.76733,10.8926526,2457,7.806696373
