wave, agecat,trend, mortRate, logmortRate, smokeRate,logSmokeRate, wealth, logwealth, count, logcount,ageAve,logageAve
2,1,1,0.001601708,-6.436684414,0.365798414,-1.005672877,74548.25287,11.21920188,1873,7.535296702,52.57554725,3.96225113
2,2,1,0.001843318,-6.296188085,0.303501946,-1.192367258,92040.60194,11.42998508,1085,6.989335266,55.49493088,4.016291681
2,4,1,0.00845666,-4.772801027,0.270655271,-1.306909332,72426.94551,11.19033368,1419,7.257707677,62.48907681,4.134991771
2,5,1,0.008867667,-4.725343525,0.213864307,-1.542413546,60870.0467,11.01649649,1466,7.290292882,66.48567531,4.196986516
2,3,1,0.005418423,-5.217950532,0.252110977,-1.377885903,86392.41935,11.36665521,1661,7.41517511,58.42444311,4.067734349
2,7,1,0.029104478,-3.536863247,0.170953101,-1.766366021,46562.7785,10.74855676,1340,7.200424893,74.86791045,4.315725367
2,6,1,0.014492754,-4.234106505,0.210784314,-1.556919878,48126.88042,10.78159614,1242,7.124478262,70.47906602,4.25531573
2,8,1,0.035465925,-3.339182906,0.099212598,-2.310490273,40132.77394,10.59994858,1438,7.271008538,81.28929068,4.398014282
3,1,2,0.005872931,-5.13740143,0.319444444,-1.141171903,79581.7761,11.2845404,1873,7.535296702,52.57554725,3.96225113
3,2,2,0.008294931,-4.792110689,0.280254777,-1.272056171,88103.07475,11.38626271,1085,6.989335266,55.49493088,4.016291681
3,4,2,0.012684989,-4.367335919,0.217028381,-1.527727148,82869.63627,11.325024,1419,7.257707677,62.48907681,4.134991771
3,5,2,0.021145975,-3.856305678,0.207070707,-1.574694964,65650.33758,11.09209802,1466,7.290292882,66.48567531,4.196986516
3,3,2,0.01384708,-4.279680894,0.229916898,-1.470037351,99629.93248,11.50921793,1661,7.41517511,58.42444311,4.067734349
3,7,2,0.052238806,-2.951929651,0.153136531,-1.876425394,51635.55184,10.8519657,1340,7.200424893,74.86791045,4.315725367
3,6,2,0.036231884,-3.317815773,0.167664671,-1.785789302,57153.95539,10.95350388,1242,7.124478262,70.47906602,4.25531573
3,8,2,0.078581363,-2.54362072,0.084337349,-2.472930459,49783.93779,10.81544768,1438,7.271008538,81.28929068,4.398014282
4,1,3,0.003203417,-5.743537233,0.295035461,-1.220659723,87963.62485,11.38467865,1873,7.535296702,52.57554725,3.96225113
4,2,3,0.004608295,-5.379897354,0.254761905,-1.367425877,105749.4076,11.5688275,1085,6.989335266,55.49493088,4.016291681
4,4,3,0.012684989,-4.367335919,0.227941176,-1.478667681,95519.77428,11.46708857,1419,7.257707677,62.48907681,4.134991771
4,5,3,0.013642565,-4.294560609,0.174852652,-1.743811647,76458.6299,11.24450509,1466,7.290292882,66.48567531,4.196986516
4,3,3,0.010836845,-4.524803352,0.194029851,-1.639743262,94721.13263,11.45869241,1661,7.41517511,58.42444311,4.067734349
4,7,3,0.026119403,-3.645076831,0.118681319,-2.131313372,49223.04158,10.80411712,1340,7.200424893,74.86791045,4.315725367
4,6,3,0.033011272,-3.410906196,0.152224824,-1.882396743,70425.9864,11.1623176,1242,7.124478262,70.47906602,4.25531573
4,8,3,0.07162726,-2.63627955,0.058333333,-2.841581594,53071.76342,10.8794003,1438,7.271008538,81.28929068,4.398014282
5,1,4,0.006406834,-5.050390053,0.2578019,-1.35556382,90510.1304,11.41321706,1873,7.535296702,52.57554725,3.96225113
5,2,4,0.005529954,-5.197575797,0.228506787,-1.476189365,100865.6459,11.52154467,1085,6.989335266,55.49493088,4.016291681
5,4,4,0.011275546,-4.485118955,0.171532847,-1.762980505,87902.57062,11.38398433,1419,7.257707677,62.48907681,4.134991771
5,5,4,0.010914052,-4.51770416,0.15917603,-1.837744582,66802.39384,11.10949419,1466,7.290292882,66.48567531,4.196986516
5,3,4,0.00602047,-5.112590017,0.162481536,-1.817190907,103886.6616,11.55105579,1661,7.41517511,58.42444311,4.067734349
5,7,4,0.041044776,-3.193091708,0.10591133,-2.245153044,52161.57461,10.86210138,1340,7.200424893,74.86791045,4.315725367
5,6,4,0.031400966,-3.460916616,0.14004914,-1.965761918,60038.59848,11.00274294,1242,7.124478262,70.47906602,4.25531573
5,8,4,0.063282337,-2.760149032,0.045296167,-3.094532858,52063.35156,10.86021656,1438,7.271008538,81.28929068,4.398014282
