wave, supergroup,trend,label, mortRate, logmortRate, smokeRate,logSmokeRate, wealth, logwealth, count, logcount,ageAve,logageAve
2,0,1,agecat1;2;3.0,0.005813953,-5.147494477,0.341176471,-1.075355427,81930.339,11.31362464,172,5.844520729,58.40331767,4.555748391
2,1,1,agecat1;2;3.0,0.025641026,-3.663561646,0.117647059,-2.140066163,90266.1875,11.41051822,39,4.387769458,73.15816148,5.220200875
2,2,1,agecat1;2;3.0,0.003174603,-5.752572639,0.413793103,-0.88238918,89443.69076,11.40136455,315,6.180431549,55.50100269,4.107319852
2,3,1,agecat1;2;3.0,0.011904762,-4.430816799,0.181818182,-1.704748092,80614.10027,11.29742885,168,5.659032588,69.52639658,4.757030499
2,4,1,agecat1;2;3.0,0.004975124,-5.303304908,0.192982456,-1.645155995,18785.88976,9.840861323,201,5.321879343,72.72598163,4.981999524
2,5,1,agecat1;2;3.0,0.021929825,-3.819907717,0.204545455,-1.586965057,29748.66892,10.30053967,228,5.835587104,77.5643984,4.365240685
2,6,1,agecat1;2;3.0,0.057142857,-2.862200881,0.136363636,-1.992430165,12620.825,9.443103506,140,5.129719782,84.26799314,5.350276908
2,7,1,agecat1;2;3.0,0.014285714,-4.248495242,0.535714286,-0.624154309,38085.83784,10.54759778,70,4.462604498,54.76954843,4.218453318
2,8,1,agecat1;2;3.0,0.004166667,-5.480638923,0.452380952,-0.793230639,29126.93878,10.27941876,240,6.234849599,55.59217192,4.881289577
2,9,1,agecat1;2;3.0,0.046728972,-3.063390922,0.354166667,-1.037987667,27412.30435,10.21874726,107,5.283568468,73.44255195,5.010668599
2,10,1,agecat1;2;3.0,0.03030303,-3.496507561,0.15,-1.897119985,92274.07692,11.43251852,33,4.222986666,83.92225935,5.015861964
2,11,1,agecat1;2;3.0,0.01863354,-3.982792076,0.121212121,-2.1102132,80500.9238,11.29602394,161,5.283265246,73.25290772,4.84181808
2,12,1,agecat1;2;3.0,0.003802281,-5.572154032,0.183673469,-1.694595721,51205.444,10.84360113,263,5.6914904,69.00611867,4.564318737
2,13,1,agecat1;2;3.0,0.003610108,-5.624017506,0.2,-1.609437912,93477.89176,11.44548024,277,6.615410436,55.10786825,4.122678453
